H [m],qc [MPa],fs [MPa],u2 [MPa],Incl. [°],v [m/s],Rf [],Uo [MPa],qt [MPa],ft [MPa],sigmaVo [MPa],sigma'Vo [MPa],qt-sigmaVo [MPa],Qt [],Fr [],Bq [],Rf(qc) [],Uh [MPa],Rfd [],soil [],L [m],D [m],UW [kN/m^3]
0.22,1.133,0.000,-0.0385,1.3,0.210,0.000,0.000,1.127,0.000,0.004,0.004,1.123,290.096,0.009,-0.0343,0.000,0.000,0.009,6,0.22,0.22,18.00
0.24,1.274,0.000,-0.0429,1.3,0.200,0.000,0.000,1.267,0.000,0.004,0.004,1.263,298.512,0.008,-0.0340,0.000,0.000,0.009,6,0.24,0.24,18.00
0.26,1.399,0.000,-0.0454,1.3,0.190,0.000,0.000,1.392,0.000,0.005,0.005,1.387,302.189,0.007,-0.0327,0.000,0.000,0.008,6,0.26,0.26,18.00
0.28,1.395,0.000,-0.0427,1.3,0.190,0.000,0.000,1.389,0.000,0.005,0.005,1.384,279.519,0.007,-0.0309,0.000,0.000,0.008,6,0.28,0.28,18.00
0.30,1.377,0.000,-0.0472,1.3,0.190,0.000,0.000,1.369,0.000,0.005,0.005,1.364,256.881,0.022,-0.0346,0.000,0.000,0.025,6,0.30,0.30,18.00
0.32,1.302,0.001,-0.0515,1.3,0.210,0.000,0.000,1.294,0.001,0.006,0.006,1.288,227.176,0.047,-0.0400,0.000,0.000,0.050,6,0.32,0.32,18.00
0.34,1.248,0.001,-0.0529,1.3,0.260,0.001,0.000,1.240,0.001,0.006,0.006,1.234,204.595,0.081,-0.0429,0.001,0.000,0.087,6,0.34,0.34,18.00
0.36,1.143,0.002,-0.0345,1.3,0.260,0.002,0.000,1.138,0.002,0.006,0.006,1.131,177.056,0.168,-0.0305,0.002,0.000,0.173,6,0.36,0.36,18.00
0.38,1.042,0.002,-0.0244,1.3,0.240,0.001,0.000,1.038,0.002,0.007,0.007,1.031,152.777,0.145,-0.0237,0.001,0.000,0.143,6,0.38,0.38,18.00
0.40,0.939,0.001,-0.0180,1.3,0.210,0.001,0.000,0.936,0.001,0.007,0.007,0.929,130.820,0.118,-0.0194,0.001,0.000,0.110,6,0.40,0.40,17.50
0.42,0.819,0.001,-0.0124,1.3,0.210,0.001,0.000,0.817,0.001,0.007,0.007,0.809,108.653,0.099,-0.0153,0.001,0.000,0.083,6,0.42,0.42,17.50
0.44,0.729,0.001,-0.0031,1.3,0.220,0.001,0.000,0.729,0.001,0.008,0.008,0.721,92.398,0.097,-0.0043,0.001,0.000,0.074,6,0.44,0.44,17.50
0.46,0.711,0.001,-0.0118,1.3,0.220,0.001,0.000,0.709,0.001,0.008,0.008,0.700,85.946,0.086,-0.0168,0.001,0.000,0.064,6,0.46,0.46,17.50
0.48,0.823,0.001,-0.0120,1.3,0.220,0.001,0.000,0.821,0.001,0.009,0.009,0.813,95.633,0.062,-0.0148,0.001,0.000,0.053,6,0.48,0.48,17.50
0.50,0.898,0.001,-0.0054,1.4,0.210,0.001,0.000,0.897,0.001,0.009,0.009,0.889,100.405,0.056,-0.0061,0.001,0.000,0.051,6,0.50,0.50,17.50
0.52,0.979,0.000,-0.0049,1.4,0.210,0.000,0.000,0.978,0.000,0.009,0.009,0.969,105.158,0.041,-0.0051,0.000,0.000,0.039,6,0.52,0.52,18.00
0.54,1.046,0.000,-0.0136,1.5,0.200,0.000,0.000,1.043,0.000,0.010,0.010,1.034,108.020,0.039,-0.0132,0.000,0.000,0.037,6,0.54,0.54,18.00
0.56,1.111,0.000,-0.0246,1.5,0.190,0.000,0.000,1.107,0.000,0.010,0.010,1.097,110.457,0.036,-0.0224,0.000,0.000,0.035,6,0.56,0.56,18.00
0.58,1.271,0.000,-0.0271,1.4,0.190,0.000,0.000,1.267,0.000,0.010,0.010,1.256,122.106,0.032,-0.0216,0.000,0.000,0.033,6,0.58,0.58,18.00
0.60,1.370,0.001,-0.0272,1.4,0.190,0.000,0.000,1.366,0.001,0.011,0.011,1.355,127.220,0.044,-0.0201,0.000,0.000,0.046,6,0.60,0.60,18.00
0.62,1.437,0.001,-0.0279,1.5,0.190,0.001,0.000,1.432,0.001,0.011,0.011,1.421,129.094,0.056,-0.0196,0.001,0.000,0.059,6,0.62,0.62,18.00
0.64,1.485,0.002,-0.0201,1.5,0.180,0.001,0.000,1.482,0.002,0.011,0.011,1.471,129.350,0.136,-0.0137,0.001,0.000,0.141,6,0.64,0.64,18.00
0.66,1.504,0.007,-0.0049,1.5,0.170,0.004,0.000,1.503,0.007,0.012,0.012,1.491,127.134,0.436,-0.0033,0.004,0.000,0.442,6,0.66,0.66,18.00
0.68,1.578,0.010,0.0009,1.4,0.180,0.006,0.000,1.578,0.010,0.012,0.012,1.566,129.525,0.651,0.0006,0.006,0.000,0.670,6,0.68,0.68,18.00
0.70,1.636,0.017,-0.0013,1.4,0.160,0.010,0.000,1.636,0.017,0.012,0.012,1.623,130.397,1.035,-0.0008,0.010,0.000,1.078,6,0.70,0.70,18.00
0.72,1.591,0.019,0.0017,1.6,0.150,0.012,0.000,1.591,0.019,0.013,0.013,1.579,123.229,1.191,0.0011,0.012,0.000,1.184,6,0.72,0.72,18.00
0.74,1.578,0.025,0.0037,1.6,0.170,0.016,0.000,1.578,0.025,0.013,0.013,1.565,118.855,1.591,0.0024,0.016,0.000,1.552,6,0.74,0.74,18.00
0.76,1.623,0.026,0.0146,1.6,0.170,0.016,0.000,1.625,0.026,0.014,0.014,1.612,119.114,1.601,0.0091,0.016,0.000,1.597,6,0.76,0.76,18.00
0.78,1.668,0.029,0.0366,1.6,0.160,0.018,0.000,1.674,0.029,0.014,0.014,1.660,119.494,1.765,0.0221,0.018,0.000,1.803,6,0.78,0.78,18.00
0.80,1.673,0.034,0.0497,1.6,0.170,0.020,0.000,1.681,0.034,0.014,0.014,1.667,116.969,2.034,0.0298,0.020,0.000,2.081,6,0.80,0.80,18.00
